Site_Name,Alt_1,Alt_2,Alt_3,Site,River_Side,GCMRC_Mile,RiverMile,NPS_Primar,NPS_Legacy,NPS_Size,NPS_Campsite,RemoteCamera,Photos_Available,Latitude,Longitude
Main Nankoweap Camp,Nankoweap Ruins Camp, , ,Main_Nankoweap_Camp,R,53.376,53.38,Yes,No,L,Y,No,Yes,36.29651888,-111.8603183
Lower Nankoweap Camp,Point Camp,Nankoweap Point Camp,Nanko Point Camp,Lower_Nankoweap_Camp,R,53.516,53.52,Yes,No,M,Y,No,Yes,36.2950725,-111.8586079
54 Mile Camp,N/A, , ,54_Mile_Camp,L,54.259,54.26,Yes,Yes,S,N,No,Yes,36.28762694,-111.8496162
Palisades Camp,Palisade Creek Camp,Tanner Mine Camp, ,Palisades_Camp,L,66.136,66.14,Yes,No,M,Y,Yes,Yes,36.13602888,-111.8166334
Upper Tanner Camp,Sixtyeight Mile Camp,Windy City Camp,Upper Tanner Rapids Camp,Upper_Tanner_Camp,R,68.323,68.32,Yes,No,L,Y,No,Yes,36.1071575,-111.8273224
Tanner Camp,N/A, , ,Tanner_Camp,R,68.713,68.71,Yes,No,L,Y,Yes,Yes,36.10338127,-111.8296854
Below Granary Camp,N/A, , ,Below_Granary_Camp,R,74.195,74.2,No,Yes,S,N,No,Yes,36.06826298,-111.8822757
Below Granary Left Camp,N/A, , ,Below_Granary_Left_Camp,L,74.232,74.23,Yes,Yes,XS,Y,No,Yes,36.06702783,-111.8824316
No Name 74.4 Camp,Above Woodsies Heaven Camp, , ,No_Name_74.4_Camp,R,74.418,74.42,No,Yes,N/A,N,No,Yes,36.06725021,-111.8859745
No Name 74.5 Camp,74 Mile Camp, , ,No_Name_74.5_Camp,R,74.524,74.52,No,Yes,N/A,N,No,Yes,36.06711385,-111.8876942
Upper Rattlesnake Camp,N/A, , ,Upper_Rattlesnake_Camp,R,74.64,74.64,Yes,No,L,Y,No,Yes,36.0670892,-111.8899062
No Name 74.8 Camp,N/A, , ,No_Name_74.8_Camp,L,74.838,74.84,No,No,N/A,N,No,Yes,36.0646637,-111.8919553
Lower Rattlesnake Camp,Below Rattlesnake Camp, , ,Lower_Rattlesnake_Camp,R,74.918,74.92,No,Yes,S,N,No,Yes,36.06393798,-111.8939361
No Name 75.2 Camp,N/A, , ,No_Name_75.2_Camp,L,75.205,75.21,No,No,N/A,N,No,Yes,36.05961558,-111.8942596
Opposite Escalante Canyon Camp,N/A, , ,Opposite_Escalante_Canyon_Camp,L,75.382,75.38,No,No,N/A,N,No,Yes,36.05741946,-111.8960135
Escalante Canyon Camp,N/A, , ,Escalante_Canyon_Camp,R,75.4,75.4,No,Yes,S,Y,No,Yes,36.05820569,-111.8972476
Nevills Camp,Nevills Rapids Camp, , ,Nevills_Camp,L,76.105,76.11,Yes,No,L,Y,No,Yes,36.04937253,-111.9032181
No Name 77.0 Camp,N/A, , ,No_Name_77.0_Camp,R,77.016,77.02,No,No,N/A,N,No,Yes,36.04490968,-111.9165558
Hance Camp,Hance Rapids Camp, , ,Hance_Camp,L,77.14,77.14,Yes,Yes,M,Y,No,Yes,36.04438375,-111.9191503
Below Sockdolager Camp,Sockdolager Rapids Camp, , ,Below_Sockdolager_Camp,L,79.421,79.42,No,Yes,S,Y,No,Yes,36.04681404,-111.9572862
Grapevine Camp,Vishnu Creek Camp,Vishnu Camp, ,Grapevine_Camp,L,81.744,81.74,Yes,No,L,Y,Yes,Yes,36.05476662,-111.9966759
83.2 Mile Camp,82.5 Mile Camp, , ,83.2_Mile_Camp,R,83.17,83.17,Yes,Yes,XS,N,No,Yes,36.06707978,-112.0169469
Clear Creek Camp,N/A, , ,Clear_Creek_Camp,R,84.558,84.56,Yes,No,S,Y,No,Yes,36.08164866,-112.0338097
Zoroaster Camp,Above Zoroaster Camp, , ,Zoroaster_Camp,L,84.981,84.98,Yes,No,M,Y,No,Yes,36.08328973,-112.0411704
No Name 86.3 Camp,N/A, , ,No_Name_86.3_Camp,L,86.311,86.31,No,No,N/A,N,No,Yes,36.09098811,-112.0625116
